iin_isam_id,logical_group,post_identifier,process_id,ticket_id,pending,naked,acked_with_failures
6335970A30008D,GWR - Euclid - LCID - Group B,eceliveisas3,11549,,1,0,0
6335970A30000F,GWR - WL - TVM - Group A,000326-003333,11551,,1,0,0
6335970A300010,GWR - WL - TVM - Group A,000326-003333,11551,,1,0,0
6335970A300011,GWR - WL - TVM - Group A,000326-003333,11551,,1,0,0
6335970A300012,GWR - WL - TVM - Group A,000326-003333,11551,,1,0,0
6335970A300013,GWR - WL - TVM - Group A,000326-003333,11551,,1,0,0
6335970A30001B,GWR - WL - TVM - Group A,000326-003333,11551,,1,0,0
6335970A300092,GWR - Vix - PVal - Group 1,eceliveisas3,11553,,1,0,0
6335970A300093,GWR - Vix - PVal - Group 1,000330-13f224,11553,,1,0,0
6335970A300094,GWR - Vix - PVal - Group 1,000330-13f224,11553,,1,0,0
6335970A300118,GWR - SB - TVM - Group B,eceliveisas3,11554,,1,0,0
6335970A300119,GWR - SB - TVM - Group B,eceliveisas3,11554,,1,0,0
6335970A30011A,GWR - SB - TVM - Group B,eceliveisas3,11554,,1,0,0
6335970A30012A,GWR - SB - TVM - Group C,eceliveisas3,14345,,1,0,0
6335970A30012B,GWR - SB - TVM - Group C,eceliveisas3,14345,,1,0,0
6335970A300009,GWR - Cubic - ATG - Group 1,000121-16d1ab,14346,,1,0,0
6335970A30000C,GWR - Cubic - ATG - Group 1,eceliveisas3,14346,,1,0,0
6335970A30000D,GWR - Cubic - ATG - Group 1,eceliveisas3,14346,,1,0,0
6335970A300014,GWR - Cubic - PVAL - Group 1,eceliveisas3,14347,,1,0,0
6335970A300016,GWR - Cubic - PVAL - Group 1,000121-16c13a,14347,,1,0,0
6335970A300128,GWR - Cubic - ATG - Group 2,eceliveisas3,14348,,1,0,0
63359708580062,LNER - SB ATG - Group 1,DUMMY,121,1,9,0,0
6335970858006F,LNER - SB ATG - Group 3,DUMMY,123,3,9,0,0
63359708580062,LNER - SB ATG - Group 1,DUMMY,141,4,7,0,0
6335970858006F,LNER - SB ATG - Group 3,DUMMY,143,6,7,0,0
6335970858006F,LNER - SB ATG - Group 3,DUMMY,161,7,7,0,0
63359708580062,LNER - SB ATG - Group 1,DUMMY,162,8,7,0,0
6335970858006D,LNER - SB ATG - Group 2,000243-120121,163,9,7,0,0
63359708580062,LNER - SB ATG - Group 1,DUMMY,164,10,6,0,0
6335970858006D,LNER - SB ATG - Group 2,000243-120121,165,11,6,0,0
